slots,entry,exit,rebal,cap,univ,ann,bench,excess,ir,sharpe,maxdd,cost,hold,mhold,ntr,cash,yr_pos,yr_min,y2020,y2021,y2022,y2023,y2024
8,10,18,1,3,500,0.4764833295987394,0.29716493118767007,0.17931839841106934,0.8722297378559803,1.545953862593148,-0.4262823291852841,0.07035691917898422,15.0,26.35211267605634,355,0.0047872340425531915,0.8,-0.08540141529010492,0.11680284068924052,0.4072307626520484,0.03423419510303605,0.2512747874869974,-0.08540141529010492
8,10,18,1,3,750,0.4574185149153136,0.29716493118767007,0.16025358372764353,0.7870147677892663,1.4796928500861728,-0.4262823291852841,0.07495776205660404,15.0,25.175202156334233,371,0.006382978723404255,0.6,-0.02600971171105315,0.11680284068924052,0.3939230971382388,-0.01934715290441369,0.18128917575668435,-0.02600971171105315
8,10,18,2,2,500,0.3423464705556478,0.29716493118767007,0.04518153936797775,0.2880553322021383,1.2395866927072023,-0.36981583744391144,0.054336035746876225,30.0,32.70175438596491,285,0.00851063829787234,0.6,-0.159936590474539,0.0665198470758781,0.2846742310234256,-0.159936590474539,0.11297673794365148,-0.08486763278071785
8,10,18,2,2,750,0.35673696156794343,0.29716493118767007,0.059572030380273366,0.35437047639309,1.2796582454331797,-0.36981583744391144,0.05700802681902875,20.0,31.216216216216218,296,0.01702127659574468,0.6,-0.14410099618782557,0.0665198470758781,0.24588978143285378,-0.09599281191048803,0.19981621137499483,-0.14410099618782557
8,10,18,2,3,500,0.4106974825076526,0.29716493118767007,0.11353255131998252,0.5780315512015505,1.4163645352310137,-0.36981583744391144,0.05684729093993043,30.0,32.76223776223776,286,0.0031914893617021275,0.6,-0.10950325670541572,0.03645039602644484,0.39603942273131887,-0.05765062289482459,0.21953882370134314,-0.10950325670541572
8,10,18,2,3,750,0.43299200835477225,0.29716493118767007,0.13582707716710218,0.6881640199102631,1.4745362207670165,-0.36981583744391144,0.05769881667216503,20.0,32.172413793103445,290,0.007446808510638298,0.6,-0.05008950275809587,0.03645039602644484,0.37311616625888755,-0.03366357625353278,0.22428112896525998,-0.05008950275809587
8,10,20,1,2,500,0.487528165146341,0.29716493118767007,0.19036323395867094,0.9168498001489743,1.5765230490283004,-0.4054453896823781,0.06428702095927943,20.0,27.972972972972972,333,0.009042553191489361,0.6,-0.037642534636572744,0.22029032531122228,0.33737766988862505,-0.020569099056076845,0.251005852007546,-0.037642534636572744
8,10,20,1,2,750,0.484054597758921,0.29716493118767007,0.18688966657125095,0.8918089063448846,1.556989492775799,-0.4054453896823781,0.06774615234608933,15.0,26.580459770114942,348,0.015957446808510637,0.8,-0.020269340727834817,0.22029032531122228,0.30461135605178513,-0.020269340727834817,0.21314377405736895,0.0066113945919661354
8,10,20,1,3,500,0.46809663875409857,0.29716493118767007,0.1709317075664285,0.8346808743916518,1.5095405042350878,-0.4262823291852841,0.06594172586394867,20.0,28.51063829787234,329,0.002127659574468085,0.8,-0.09105515498664118,0.09060702948038335,0.45533605012507894,0.012594484820706686,0.2435106627290553,-0.09105515498664118
8,10,20,1,3,750,0.48072755164885206,0.29716493118767007,0.183562620461182,0.8865654234724286,1.5333418426074041,-0.4262823291852841,0.06986878025485292,20.0,27.194767441860463,344,0.0047872340425531915,0.8,-0.006583334403307273,0.09060702948038335,0.4093124134308612,-0.006583334403307273,0.21960171932534434,0.017410377345898453
8,10,20,2,2,500,0.3662655741253602,0.29716493118767007,0.06910064293769014,0.39497108655633384,1.300441301238831,-0.3636748873829835,0.04997950574969761,30.0,35.51330798479088,263,0.006382978723404255,0.6,-0.09175435670918874,0.08173054267492685,0.26914282186504845,-0.08472701308961084,0.11818181105534764,-0.09175435670918874
8,10,20,2,2,750,0.3973544303861447,0.29716493118767007,0.10018949919847464,0.5221898734851835,1.3956217382297211,-0.3636748873829835,0.05129521899789923,30.0,34.370370370370374,270,0.01276595744680851,0.6,-0.14274987279207052,0.08173054267492685,0.33022565513134605,-0.012611029159086518,0.15976142171465146,-0.14274987279207052
8,10,20,2,3,500,0.3941221616828934,0.29716493118767007,0.09695723049522331,0.5213639164161072,1.3784133587959346,-0.3636748873829835,0.0521228439109824,30.0,35.56818181818182,264,0.0010638297872340426,0.6,-0.11772310649484896,0.0374193276009398,0.3816778099727538,-0.11772310649484896,0.22779731064653164,-0.09547572682581096
8,10,20,2,3,750,0.417659004435295,0.29716493118767007,0.12049407324762496,0.6287017433371013,1.4400917542829084,-0.3636748873829835,0.052872798466611526,30.0,35.0936329588015,267,0.0031914893617021275,0.6,-0.10966970892041128,0.0374193276009398,0.441668124797566,-0.10966970892041128,0.18820688014776832,-0.038328992952819996
8,10,24,1,2,500,0.4456880183723775,0.29716493118767007,0.14852308718470741,0.7990302063842832,1.4803169614050302,-0.4206967121645646,0.05565665971576504,22.5,31.836734693877553,294,0.00425531914893617,0.6,-0.027901611964440076,0.07515348285452439,0.34699220500384453,-0.02165244860151261,0.23159886175850009,-0.027901611964440076
8,10,24,1,2,750,0.4822126126200792,0.29716493118767007,0.18504768143240913,0.9426367949024078,1.5620705964900277,-0.4206967121645646,0.05753181791912149,20.0,30.778145695364238,302,0.011170212765957447,1.0,0.023695466840051083,0.07515348285452439,0.3265851295121698,0.08579388202906202,0.2029865304251961,0.023695466840051083
