slots,entry,exit,rebal,cap,univ,wt,ann,bench,excess,ir,sharpe,maxdd,cost,hold,mhold,ntr,yr_pos,y2020,y2021,y2022,y2023,y2024
8,16,32,2,2,500,equal,0.4058812503422551,0.29716493118767007,0.10871631915458502,0.566167475403455,1.4129645357579352,-0.36476531869788564,0.038892464415669924,40.0,46.53465346534654,202,0.6,0.18055388374768944,0.26747028720334587,-0.13815797000057117,0.22461898635030675,-0.07663876037093342
8,16,32,2,2,750,equal,0.4775913090284185,0.29716493118767007,0.18042637784074844,0.8616406840186255,1.5757594475870915,-0.36476531869788564,0.03908484787467418,40.0,46.30541871921182,203,0.8,0.18055388374768944,0.30739586065592195,-0.07800850648787938,0.24736448634912334,0.042147873167482475
8,16,32,2,3,500,equal,0.37146208838913886,0.29716493118767007,0.07429715720146879,0.41693490789353005,1.3024747000802392,-0.36476531869788564,0.04038899001964517,40.0,46.53465346534654,202,0.6,0.14163786689205837,0.28110669989173176,-0.2119963464785326,0.2318453695852536,-0.08258334742433227
8,16,32,2,3,750,equal,0.40797354514341033,0.29716493118767007,0.11080861395574026,0.5761687692229485,1.4013673446098205,-0.36476531869788564,0.04015948761238111,40.0,47.0,200,0.8,0.14163786689205837,0.27892258196075503,-0.17959283039723606,0.19330517323329532,0.03125746990356282
8,16,32,4,2,500,equal,0.429020554141488,0.29716493118767007,0.13185562295381792,0.642361238789107,1.4757038960689643,-0.35314785611820687,0.031100612607780336,40.0,59.119496855345915,159,0.8,0.18205435381469615,0.37663031745600195,-0.19381698581265594,0.14228024365390746,0.04470361202925677
8,16,32,4,2,750,equal,0.44397664008346016,0.29716493118767007,0.1468117088957901,0.7057571926945531,1.494626455726201,-0.3375329522602899,0.030828781923755676,40.0,58.75,160,0.8,0.18205435381469615,0.3776458181418614,-0.20942326138715672,0.15462522346035534,0.11098417347520195
8,16,32,4,3,500,equal,0.38374535853249037,0.29716493118767007,0.0865804273448203,0.4576812136645075,1.3485420689217897,-0.3710425664466692,0.03161376938178484,40.0,59.87261146496815,157,0.8,0.17824948191195666,0.3536930931858109,-0.2141933495742283,0.07538216014052002,0.0007307517878853975
8,16,32,4,3,750,equal,0.45604322639796546,0.29716493118767007,0.1588782952102954,0.7507667693367078,1.5134442012685907,-0.3375329522602899,0.03188821158266205,40.0,59.87261146496815,157,0.8,0.17824948191195666,0.36066287656423146,-0.1468206869707549,0.10450847980244982,0.1388594244394934
8,16,48,1,2,500,equal,0.48022536331741983,0.29716493118767007,0.18306043212974976,0.8517844278866088,1.5663859563096922,-0.34958524885124287,0.03258992506065988,45.0,56.626506024096386,166,0.6,0.3724711384289119,0.35580685402844714,-0.0790778427027864,0.19289444520977073,-0.0878775042189015
8,16,48,1,2,750,equal,0.5411656567038741,0.29716493118767007,0.244000725516204,1.09150514334421,1.6987016878291792,-0.34958524885124287,0.03343054010992539,40.0,54.02298850574713,174,0.8,0.3724711384289119,0.4193140234030839,-0.0841970133821851,0.23713820074505243,0.025178944714378648
8,16,48,1,3,500,equal,0.46027551057752425,0.29716493118767007,0.16311057938985418,0.7595519562623737,1.5198019670948417,-0.3765907834677751,0.03223747401222032,45.0,57.668711656441715,163,0.6,0.38273441228263305,0.4313444412143943,-0.22986300736337162,0.15154617378945323,-0.0069167187534106
8,16,48,1,3,750,equal,0.5297666965024344,0.29716493118767007,0.23260176531476429,1.037893863522,1.6773350825777307,-0.3660826535260471,0.03378615384129039,45.0,54.97076023391813,171,0.8,0.38273441228263305,0.49977393535690506,-0.20220688849581592,0.2024084721981494,0.09489485529285213
8,16,48,2,2,500,equal,0.5355028962556159,0.29716493118767007,0.2383379650679458,1.0773105899790112,1.7211510655994484,-0.31712991781671873,0.027645984211134535,50.0,64.82758620689656,145,0.8,0.4853557661987462,0.30017038719398803,-0.08028854770131721,0.19242515209757616,0.042515116156462085
